name,symbol,option,Value,nasdaq
Kinder Morgan Inc Class P,KMI,Yes,381994623.0,No
Marvell Technology,MRVL,Yes,381890496.1,Yes
Intuitive Surgical Inc.,ISRG,Yes,381228687.0,Yes
Abbott Laboratories,ABT,Yes,380442708.0,No
Automatic Data Processing Inc.,ADP,Yes,379527650.0,Yes
Electronic Arts Inc.,EA,Yes,377484800.0,Yes
American Tower Corporation,AMT,Yes,377143362.0,No
Altria Group Inc,MO,Yes,376157364.0,No
Vertex Pharmaceuticals Incorporated,VRTX,Yes,375326846.0,Yes
Colgate-Palmolive Company,CL,Yes,374023332.0,No
Williams Companies Inc.,WMB,Yes,373757064.0,No
Digital Realty Trust Inc.,DLR,Yes,373227972.0,No
BlackRock Inc.,BLK,Yes,371830272.0,No
Boston Scientific Corporation,BSX,Yes,371077382.0,No
Chipotle Mexican Grill Inc.,CMG,Yes,369799362.0,No
Regeneron Pharmaceuticals Inc.,REGN,Yes,368904198.0,Yes
General Electric Company,GE,Yes,367402176.0,No
Sherwin-Williams Company,SHW,Yes,363605302.0,No
Mid-America Apartment Communities Inc.,MAA,Yes,361173470.0,No
American Airlines Group Inc.,AAL,Yes,358630848.4,No
Southern Company,SO,Yes,356903595.0,No
Hess Corporation,HES,Yes,356824160.0,No
Hartford Financial Services Group Inc.,HIG,Yes,356782755.0,No
Kimberly-Clark Corporation,KMB,Yes,355887756.0,No
Chubb Limited,CB,Yes,355804534.0,No
General Dynamics Corporation,GD,Yes,353878092.0,No
Phillips 66,PSX,Yes,352122750.0,No
Carnival Corporation,CCL,Yes,351155128.0,No
Halliburton Company,HAL,Yes,349126150.0,No
American International Group Inc.,AIG,Yes,348918258.0,No
AutoZone Inc.,AZO,Yes,343160167.2,No
Consolidated Edison Inc.,ED,Yes,340810100.0,No
Equity Residential,EQR,Yes,339670692.0,No
Cummins Inc.,CMI,Yes,339087990.0,No
Hershey Company,HSY,Yes,338169450.0,No
JD.com,JD,Yes,336252840.0,Yes
Zoetis Inc. Class A,ZTS,Yes,336232635.0,No
Prologis Inc.,PLD,Yes,328726892.0,No
West Pharmaceutical Services Inc.,WST,Yes,326394288.0,No
Marriott International Inc. Class A,MAR,Yes,326062800.0,Yes
Coterra Energy Inc.,CTRA,Yes,325582920.0,No
Fiserv Inc.,FISV,Yes,325366474.0,Yes
SolarEdge Technologies Inc.,SEDG,Yes,325050624.0,No
Verisk Analytics Inc,VRSK,Yes,324041622.0,Yes
AmerisourceBergen Corporation,ABC,Yes,321558888.0,No
Becton Dickinson and Company,BDX,Yes,321348184.0,No
3M Company,MMM,Yes,319524421.0,No
Air Products and Chemicals Inc.,APD,Yes,319149110.0,No
Synopsys Inc.,SNPS,Yes,318863220.0,Yes
CME Group Inc. Class A,CME,Yes,313614000.0,No
Equinix Inc.,EQIX,Yes,306773280.0,No
Huntington Ingalls Industries Inc.,HII,Yes,305823480.0,No
General Mills Inc.,GIS,Yes,305444799.0,No
Generac Holdings Inc.,GNRC,Yes,305110036.0,No
Marsh & McLennan Companies Inc.,MMC,Yes,304568556.0,No
McKesson Corporation,MCK,Yes,304567172.0,No
Waste Management Inc.,WM,Yes,303674184.0,No
Estee Lauder Companies Inc. Class A,EL,Yes,303557152.0,No
Duke Energy Corporation,DUK,Yes,302578937.0,No
Constellation Energy Corporation,CEG,Yes,301894230.0,Yes
Edwards Lifesciences Corporation,EW,Yes,299672670.0,No
Align Technology Inc.,ALGN,Yes,298974240.0,Yes
Wynn Resorts Limited,WYNN,Yes,295297189.0,No
Eaton Corp. Plc,ETN,Yes,294876348.0,No
Capital One Financial Corp,COF,Yes,294778372.0,No
Paycom Software Inc.,PAYC,Yes,293618518.0,No
EQT Corporation,EQT,Yes,293478125.0,No
Domino's Pizza Inc.,DPZ,Yes,292892256.0,No
Sempra Energy,SRE,Yes,292699332.0,No
Camden Property Trust,CPT,Yes,292669895.0,No
Parker-Hannifin Corporation,PH,Yes,292453396.0,No
American Electric Power Company Inc.,AEP,Yes,289030757.0,Yes
Seagen,SGEN,Yes,286784185.0,Yes
First Republic Bank,FRC,Yes,286754472.0,No
Baker Hughes Company Class A,BKR,Yes,286349900.4,No
PNC Financial Services Group Inc.,PNC,Yes,284986230.0,No
Keurig Dr Pepper Inc.,KDP,Yes,283694211.0,Yes
Lennar Corporation Class A,LEN,Yes,282406500.0,No
Snap-on Incorporated,SNA,Yes,281065148.0,No
Republic Services Inc.,RSG,Yes,278211268.0,No
Tractor Supply Company,TSCO,Yes,274706600.0,No
CF Industries Holdings Inc.,CF,Yes,274266675.0,No
Zscaler,ZS,Yes,273448335.0,Yes
Lululemon,LULU,Yes,269134436.0,Yes
Charter Communications Inc. Class A,CHTR,Yes,268428170.0,Yes
Amcor PLC,AMCR,Yes,267209728.0,No
eBay Inc.,EBAY,Yes,265894056.0,Yes
Arista Networks Inc.,ANET,Yes,265249547.0,No
APA Corp.,APA,Yes,263270462.0,No
Autodesk Inc.,ADSK,Yes,262656120.0,Yes
EPAM Systems Inc.,EPAM,Yes,260421700.0,No
Roper Technologies Inc.,ROP,Yes,257335056.0,No
ONEOK Inc.,OKE,Yes,256637256.0,No
Moody's Corporation,MCO,Yes,256533950.0,No
Dollar Tree Inc.,DLTR,Yes,253222420.0,Yes
U.S. Bancorp,USB,Yes,252321480.0,No
Dow Inc.,DOW,Yes,250953023.0,No
Corteva Inc,CTVA,Yes,249526970.0,No
Incyte Corporation,INCY,Yes,248241700.0,No
Cognizant Technology Solutions Corporation Class A,CTSH,Yes,247835252.0,Yes
Monolithic Power Systems Inc.,MPWR,Yes,245471801.0,No
AstraZeneca,AZN,Yes,245057307.0,Yes
United Airlines Holdings Inc.,UAL,Yes,241226615.0,No
Warner Bros. Discovery Inc. Series A,WBD,Yes,239973516.6,No
MSCI Inc. Class A,MSCI,Yes,239016921.0,No
Las Vegas Sands Corp.,LVS,Yes,237788094.0,No
Pool Corporation,POOL,Yes,235814396.0,No
TransDigm Group Incorporated,TDG,Yes,235317711.0,No
IDEXX Laboratories Inc.,IDXX,Yes,234577350.0,Yes
Crown Castle Inc.,CCI,Yes,233388120.0,No
Constellation Brands Inc. Class A,STZ,Yes,233059680.0,No
DocuSign,DOCU,Yes,231905037.0,Yes
Old Dominion Freight Line Inc.,ODFL,Yes,231391164.0,Yes
HCA Healthcare Inc,HCA,Yes,230983792.0,No
CDW Corp.,CDW,Yes,229675248.0,No
Dominion Energy Inc,D,Yes,229346770.0,No
Delta Air Lines Inc.,DAL,Yes,228679304.0,No
Zoom Video Communications,ZM,Yes,228482220.0,Yes
PG&E Corporation,PCG,Yes,228139425.0,No
IQVIA Holdings Inc,IQV,Yes,226761360.0,No
State Street Corporation,STT,Yes,225841600.0,No
United Rentals Inc.,URI,Yes,224121375.0,No
Stryker Corporation,SYK,Yes,223949160.0,No
Fortinet Inc.,FTNT,Yes,223591808.0,Yes
Ulta Beauty Inc.,ULTA,Yes,222441000.0,No
PPL Corporation,PPL,Yes,220261093.0,No
Splunk,SPLK,Yes,219649500.0,Yes
W.W. Grainger Inc.,GWW,Yes,219461400.0,No
Biogen Inc.,BIIB,Yes,217943702.0,Yes
Arch Capital Group Ltd.,ACGL,Yes,216856380.0,No
Illinois Tool Works Inc.,ITW,Yes,216786680.0,No
Tyler Technologies Inc.,TYL,Yes,216536720.0,No
Emerson Electric Co.,EMR,Yes,216060672.0,No
Travelers Companies Inc.,TRV,Yes,214596975.0,No
LyondellBasell Industries NV,LYB,Yes,214483548.0,No
Keysight Technologies Inc,KEYS,Yes,212866724.0,No
Discover Financial Services,DFS,Yes,212309328.0,No
Motorola Solutions Inc.,MSI,Yes,211629410.0,No
Truist Financial Corporation,TFC,Yes,210136264.0,No
Laboratory Corporation of America Holdings,LH,Yes,209133786.0,No
Skyworks Solutions Inc.,SWKS,Yes,209061567.0,Yes
FedEx Corporation,FDX,Yes,208890990.0,No
Vulcan Materials Company,VMC,Yes,208373560.0,No
Darden Restaurants Inc.,DRI,Yes,207856852.0,No
DexCom Inc.,DXCM,Yes,207738552.0,Yes
M&T Bank Corporation,MTB,Yes,207720088.0,No
VICI Properties Inc,VICI,Yes,207461024.0,No
Nucor Corporation,NUE,Yes,206658872.0,No
Illumina Inc.,ILMN,Yes,206597799.0,Yes
TE Connectivity Ltd.,TEL,Yes,205290450.0,No
SBA Communications Corp. Class A,SBAC,Yes,203814628.0,No
Norwegian Cruise Line Holdings Ltd.,NCLH,Yes,200770440.0,No
Best Buy Co. Inc.,BBY,Yes,200596662.0,No
Centene Corporation,CNC,Yes,198101344.0,No
Waters Corporation,WAT,Yes,197369492.0,No
Allstate Corporation,ALL,Yes,197173000.0,No
Welltower Inc,WELL,Yes,196905600.0,No
PACCAR Inc,PCAR,Yes,196582068.0,Yes
"Workday, Inc.",WDAY,Yes,195851780.0,Yes
Hilton Worldwide Holdings Inc,HLT,Yes,195773652.0,No
Martin Marietta Materials Inc.,MLM,Yes,194314304.0,No
Archer-Daniels-Midland Company,ADM,Yes,192878760.0,No
Advance Auto Parts Inc.,AAP,Yes,191912205.0,No
Mosaic Company,MOS,Yes,191488805.0,No
Realty Income Corporation,O,Yes,191212428.0,No
Huntington Bancshares Incorporated,HBAN,Yes,190712060.0,No
Live Nation Entertainment Inc.,LYV,Yes,187797176.0,No
Kroger Co.,KR,Yes,186124400.0,No
First Solar Inc.,FSLR,Yes,185570688.0,No
T. Rowe Price Group,TROW,Yes,185515625.0,No
Bio-Rad Laboratories Inc. Class A,BIO,Yes,184062307.0,No
Aon Plc Class A,AON,Yes,183710867.0,No
Johnson Controls International plc,JCI,Yes,183219894.0,No
Rockwell Automation Inc.,ROK,Yes,183038256.0,No
Caesars Entertainment Inc,CZR,Yes,182608800.0,No
Omnicom Group Inc,OMC,Yes,182369748.0,No
Intercontinental Exchange Inc.,ICE,Yes,182087000.0,No
NRG Energy Inc.,NRG,Yes,181225698.0,No
Ameriprise Financial Inc.,AMP,Yes,179817168.0,No
IDEX Corporation,IEX,Yes,179510100.0,No
CoStar Group Inc.,CSGP,Yes,177340940.0,No
Agilent Technologies Inc.,A,Yes,177141048.0,No
Citizens Financial Group Inc.,CFG,Yes,176826418.0,No
GE Healthcare Technologies Inc.,GEHC,Yes,176237262.0,No
STERIS Plc,STE,Yes,174657894.0,No
Molina Healthcare Inc.,MOH,Yes,174533265.0,No
HP Inc.,HPQ,Yes,173667312.0,No
Lucid Motors,LCID,Yes,172676512.0,Yes
Akamai Technologies Inc.,AKAM,Yes,172603170.0,No
PulteGroup Inc.,PHM,Yes,172418790.0,No
Public Service Enterprise Group Inc,PEG,Yes,171879260.0,No
Aptiv PLC,APTV,Yes,170857884.0,No
Ross Stores Inc.,ROST,Yes,170411370.0,Yes
Ecolab Inc.,ECL,Yes,169815896.0,No
Global Payments Inc.,GPN,Yes,169091478.0,No
Trane Technologies plc,TT,Yes,167253858.0,No
Yum! Brands Inc.,YUM,Yes,165432916.0,No
Match Group Inc.,MTCH,Yes,165270440.0,Yes
Tyson Foods Inc. Class A,TSN,Yes,165152807.0,No
Fox Corporation Class A,FOXA,Yes,164835342.0,No
PPG Industries Inc.,PPG,Yes,163089014.0,No
Fastenal Company,FAST,Yes,162163680.0,Yes
Steel Dynamics Inc.,STLD,Yes,162036102.0,No
L3Harris Technologies Inc,LHX,Yes,161435286.0,No
Zebra Technologies Corporation Class A,ZBRA,Yes,160257744.0,No
Clorox Company,CLX,Yes,159928830.0,No
Simon Property Group Inc.,SPG,Yes,159818184.0,No
MGM Resorts International,MGM,Yes,158484348.0,No
Prudential Financial Inc.,PRU,Yes,158082210.0,No
Campbell Soup Company,CPB,Yes,157337925.0,No
KeyCorp,KEY,Yes,157309590.0,No
VeriSign Inc.,VRSN,Yes,157012570.0,Yes
Xcel Energy Inc.,XEL,Yes,156960279.0,Yes
Bank of New York Mellon Corp,BK,Yes,156359150.0,No
International Paper Company,IP,Yes,156329123.0,No
Corning Inc,GLW,Yes,156164178.0,No
Kellogg Company,K,Yes,155427740.0,No
Charles River Laboratories International Inc.,CRL,Yes,154801248.0,No
Walgreens Boots Alliance Inc.,WBA,Yes,154105272.0,Yes
DuPont de Nemours Inc.,DD,Yes,154086684.0,No
Hasbro Inc.,HAS,Yes,153950160.0,No
Entergy Corporation,ETR,Yes,153891409.0,No
Genuine Parts Company,GPC,Yes,153119000.0,No
Otis Worldwide Corporation,OTIS,Yes,152627332.0,No
Host Hotels & Resorts Inc.,HST,Yes,152617542.0,No
Take-Two Interactive Software Inc.,TTWO,Yes,152484803.0,No
Cintas Corporation,CTAS,Yes,152459530.0,Yes
FLEETCOR Technologies Inc.,FLT,Yes,152432046.0,No
Church & Dwight Co. Inc.,CHD,Yes,152177992.0,No
Tapestry Inc.,TPR,Yes,151239957.0,No
Arthur J. Gallagher & Co.,AJG,Yes,150333060.0,No
Southwest Airlines Co.,LUV,Yes,150304752.0,No
Sysco Corporation,SYY,Yes,148336866.0,No
V.F. Corporation,VFC,Yes,147781046.0,No
W. R. Berkley Corporation,WRB,Yes,147513294.0,No
Royal Caribbean Group,RCL,Yes,147484085.0,No
Stanley Black & Decker Inc.,SWK,Yes,145051270.0,No
BorgWarner Inc.,BWA,Yes,144814788.0,No
Synchrony Financial,SYF,Yes,143291043.0,No
Atmos Energy Corporation,ATO,Yes,143225530.0,No
Copart Inc.,CPRT,Yes,143044920.0,Yes
Monster Beverage Corporation,MNST,Yes,141809816.0,Yes
"Okta, Inc.",OKTA,Yes,141026055.0,Yes
FirstEnergy Corp.,FE,Yes,140589295.0,No
ResMed Inc.,RMD,Yes,140339702.0,No
Paychex Inc.,PAYX,Yes,140017950.0,Yes
Amphenol Corporation Class A,APH,Yes,139833471.0,No
Quest Diagnostics Incorporated,DGX,Yes,139341622.0,No
Eversource Energy,ES,Yes,137261700.0,No
Expeditors International of Washington Inc.,EXPD,Yes,137177960.0,No
Conagra Brands Inc.,CAG,Yes,136996266.0,No
Westinghouse Air Brake Technologies Corporation,WAB,Yes,136873275.0,No
Mettler-Toledo International Inc.,MTD,Yes,136556495.0,No
Regions Financial Corporation,RF,Yes,135710908.0,No
Henry Schein Inc.,HSIC,Yes,135543142.0,No
Organon & Co.,OGN,Yes,134237180.0,No
Quanta Services Inc.,PWR,Yes,133601250.0,No
CenterPoint Energy Inc.,CNP,Yes,133399149.0,No
Weyerhaeuser Company,WY,Yes,131121620.0,No
CarMax Inc.,KMX,Yes,130668040.0,No
Lamb Weston Holdings Inc.,LW,Yes,130634048.0,No
Leidos Holdings Inc.,LDOS,Yes,129789680.0,No
Hewlett Packard Enterprise Co.,HPE,Yes,129787152.0,No
Catalent Inc,CTLT,Yes,129750660.0,No
Zimmer Biomet Holdings Inc.,ZBH,Yes,129333399.0,No
C.H. Robinson Worldwide Inc.,CHRW,Yes,126786244.0,No
Seagate Technology Holdings PLC,STX,Yes,126770118.0,No
J.M. Smucker Company,SJM,Yes,126369432.0,No
AMETEK Inc.,AME,Yes,125073162.0,No
Xylem Inc.,XYL,Yes,124166717.0,No
Textron Inc.,TXT,Yes,123541234.0,No
Extra Space Storage Inc.,EXR,Yes,123487533.0,No
Equifax Inc.,EFX,Yes,123411588.0,No
Jack Henry & Associates Inc.,JKHY,Yes,123167200.0,No
Aflac Incorporated,AFL,Yes,122819585.0,No
Western Digital Corporation,WDC,Yes,122049774.0,No
Gartner Inc.,IT,Yes,121937448.0,No
Teradyne Inc.,TER,Yes,121184850.0,No
Raymond James Financial Inc.,RJF,Yes,121042647.0,No
Everest Re Group Ltd.,RE,Yes,118848275.0,No
DTE Energy Company,DTE,Yes,118274740.0,No
CBRE Group Inc. Class A,CBRE,Yes,117882156.0,No
Garmin Ltd.,GRMN,Yes,117682831.0,No
Alexandria Real Estate Equities Inc.,ARE,Yes,117630240.0,No
J.B. Hunt Transport Services Inc.,JBHT,Yes,116701660.0,No
International Flavors & Fragrances Inc.,IFF,Yes,116475500.0,No
Carrier Global Corp.,CARR,Yes,113995098.0,No
Fortive Corp.,FTV,Yes,113778144.0,No
Ameren Corporation,AEE,Yes,111989484.0,No
Newell Brands Inc,NWL,Yes,111583120.0,No
Ingersoll Rand Inc.,IR,Yes,111428816.0,No
Fifth Third Bancorp,FITB,Yes,110971935.0,No
NiSource Inc,NI,Yes,109317206.0,No
Targa Resources Corp.,TRGP,Yes,106214810.0,No
Essex Property Trust Inc.,ESS,Yes,105389350.0,No
CMS Energy Corporation,CMS,Yes,105311818.0,No
WEC Energy Group Inc,WEC,Yes,104070122.0,No
Dover Corporation,DOV,Yes,103221184.0,No
Willis Towers Watson Public Limited Company,WTW,Yes,102739585.0,No
Principal Financial Group Inc.,PFG,Yes,102654531.0,No
Bath & Body Works Inc.,BBWI,Yes,101996709.0,No
Franklin Resources Inc.,BEN,Yes,101158304.0,No
Ralph Lauren Corporation Class A,RL,Yes,101076541.0,No
UDR Inc.,UDR,Yes,100915725.0,No
Comerica Incorporated,CMA,Yes,100763888.0,No
F5 Inc.,FFIV,Yes,100554048.0,No
Qorvo Inc.,QRVO,Yes,100214376.0,No
Whirlpool Corporation,WHR,Yes,99876000.0,No
Molson Coors Beverage Company Class B,TAP,Yes,99831582.0,No
Allegion Public Limited Company,ALLE,Yes,99493540.0,No
Signature Bank,SBNY,Yes,99099932.0,No
Juniper Networks Inc.,JNPR,Yes,97924368.0,No
Pinnacle West Capital Corporation,PNW,Yes,97922890.0,No
Mohawk Industries Inc.,MHK,Yes,97729154.0,No
ANSYS Inc.,ANSS,Yes,97148688.0,Yes
Iron Mountain Inc.,IRM,Yes,95558420.0,No
Gen Digital Inc.,GEN,Yes,94856736.0,No
Invesco Ltd.,IVZ,Yes,94478016.0,No
Hologic Inc.,HOLX,Yes,93799274.0,No
LKQ Corporation,LKQ,Yes,92973084.0,No
Invitation Homes Inc.,INVH,Yes,91762086.0,No
Lumen Technologies Inc.,LUMN,Yes,89857878.0,No
Ceridian HCM Holding Inc.,CDAY,Yes,89554712.0,No
Ball Corporation,BALL,Yes,89071920.0,No
Lincoln National Corp,LNC,Yes,86656986.0,No
Howmet Aerospace Inc.,HWM,Yes,86573448.0,No
Healthpeak Properties Inc.,PEAK,Yes,85013955.0,No
AES Corporation,AES,Yes,84704539.0,No
Viatris Inc.,VTRS,Yes,83911989.0,No
NetApp Inc.,NTAP,Yes,83797371.0,No
MarketAxess Holdings Inc.,MKTX,Yes,82648059.0,No
PTC Inc.,PTC,Yes,81665772.0,No
Cboe Global Markets Inc,CBOE,Yes,80745795.0,No
Sirius XM,SIRI,Yes,80119584.6,Yes
FactSet Research Systems Inc.,FDS,Yes,79605058.0,No
A. O. Smith Corporation,AOS,Yes,79255788.0,No
WestRock Company,WRK,Yes,79008615.0,No
Boston Properties Inc.,BXP,Yes,78611040.0,No
Nordson Corporation,NDSN,Yes,78568802.0,No
McCormick & Company Incorporated,MKC,Yes,78113400.0,No
Ventas Inc.,VTR,Yes,76421670.0,No
Avery Dennison Corporation,AVY,Yes,75190000.0,No
Masco Corporation,MAS,Yes,74395057.0,No
Robert Half International Inc.,RHI,Yes,73427978.0,No
Teledyne Technologies Incorporated,TDY,Yes,72997385.0,No
Hormel Foods Corporation,HRL,Yes,72067944.0,No
PerkinElmer Inc.,PKI,Yes,71003424.0,No
Eastman Chemical Company,EMN,Yes,70475680.0,No
DaVita Inc.,DVA,Yes,69275822.0,No
Pentair plc,PNR,Yes,67741360.0,No
Nasdaq Inc.,NDAQ,Yes,67244448.0,No
Rollins Inc.,ROL,Yes,66628650.0,No
Jacobs Solutions Inc.,J,Yes,66551940.0,No
Interpublic Group of Companies Inc.,IPG,Yes,66205656.0,No
FMC Corporation,FMC,Yes,63574380.0,No
Cincinnati Financial Corporation,CINF,Yes,63273643.0,No
Celanese Corporation,CE,Yes,62791090.0,No
Bio-Techne Corporation,TECH,Yes,62469504.0,No
NetEase,NTES,Yes,61487192.0,Yes
Kimco Realty Corporation,KIM,Yes,61299045.0,No
Northern Trust Corporation,NTRS,Yes,60366382.0,No
