Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,vlaue
EME,Emcor Group,151.19,2.43,1.63%,152.225,149.2001,268400,2/17/23,40579396
CWK,Cushman & Wakefield Plc,14,-0.24,-1.69%,14.235,13.65,2897200,2/17/23,40560800
CIEN,Ciena Corp,47.75,-0.22,-0.46%,48.05,47.29,848700,2/17/23,40525425
MXL,Maxlinear Inc,36.74,-0.18,-0.49%,37.17,36.28,1103000,2/17/23,40524220
APP,Applovin Corp Cl A,14.99,-0.61,-3.91%,15.59,14.93,2701100,2/17/23,40489489
WMG,Warner Music Group Corp Cl A,33.19,-0.5,-1.48%,33.47,32.74,1218400,2/17/23,40438696
BOX,Box Inc,32.74,-0.83,-2.47%,33.51,32.37,1232900,2/17/23,40365146
TRTN,Triton International Ltd,68.1,0.37,0.55%,68.39,67.05,592400,2/17/23,40342440
NVCR,Novocure Ltd Ord Sh,84.74,-1.9,-2.19%,86.36,84.16,475800,2/17/23,40319292
SCZ,EAFE Smallcap Ishares MSCI ETF,60.37,0.23,0.38%,60.41,59.81,666800,2/17/23,40254716
CIVI,Civitas Resources Inc,62.9,-2.41,-3.69%,64.61,62.16,639400,2/17/23,40218260
NSP,Insperity Inc,125.59,2.41,1.96%,125.95,123.55,320100,2/17/23,40201359
SUM,Summit Materials Inc,30.55,-0.65,-2.08%,31.51,29.77,1315900,2/17/23,40200745
CX,Cemex S.A.B. DE C.V. ADR,5.14,-0.04,-0.77%,5.22,5.1,7820500,2/17/23,40197370
CRDO,Credo Technology Group Holding Ltd,9.65,-0.55,-5.39%,10.23,9.63,4162900,2/17/23,40171985
AIT,Applied Industrial Technologies,144.59,3.21,2.27%,145.77,142.19,277600,2/17/23,40138184
AMR,Alpha Metallurgical Resources Inc,170.01,-2.79,-1.61%,174.6399,170,235900,2/17/23,40105359
RYAAY,Ryanair Hlds Plc ADR,94.27,-0.18,-0.19%,94.49,93.74,425100,2/17/23,40074177
BZ,Kanzhun Ltd ADR,22.72,-1.11,-4.66%,23.63,22.65,1757500,2/17/23,39930400
VBK,Smallcap Growth ETF Vanguard,225.1,-0.86,-0.38%,225.2,222.88,177200,2/17/23,39887720
JNUG,Junior Gold Mine Bull 3X Direxion,33.29,-0.1,-0.30%,33.53,31.54,1198100,2/17/23,39884749
NYT,New York Times Company,40.4,0.77,1.94%,40.625,39.28,985100,2/17/23,39798040
OLED,Universal Display,132.56,-0.88,-0.66%,132.98,131.12,300200,2/17/23,39794512
SWX,Southwest Gas Corp,65.1,0.74,1.15%,65.51,63.86,610100,2/17/23,39717510
PVH,Phillips-Van Heusen Corp,82.64,0.48,0.58%,82.65,81.15,479600,2/17/23,39634144
RARE,Ultragenyx Pharmaceu,48.71,4.44,10.03%,49.31,45.19,812500,2/17/23,39576875
PINC,Premier Inc Cl A,33.42,0.75,2.30%,33.44,32.61,1184000,2/17/23,39569280
CYH,Community Health Systems,7.94,0.2,2.58%,8,7.385,4982900,2/17/23,39564226
CR,Crane Holdings Co.,120.39,0.39,0.33%,120.88,119.505,328600,2/17/23,39560154
GXO,Gxo Logistics Inc,49.84,-0.27,-0.54%,49.98,49,793400,2/17/23,39543056
ICSH,Ultra-Short-Term Ishares ETF,50.18,0.02,0.04%,50.18,50.16,787400,2/17/23,39511732
SIX,Six Flags Entertainment Corp,28.39,-0.57,-1.97%,28.86,27.63,1387100,2/17/23,39379769
L,Loews Corp,61.51,-0.15,-0.24%,61.63,61.12,639700,2/17/23,39347947
KIE,S&P Insurance ETF SPDR,43.88,0.22,0.50%,43.92,43.54,895900,2/17/23,39312092
ZG,Zillow Grp Inc Cl A,44.96,-2.09,-4.44%,46.87,44.03,872700,2/17/23,39236592
ELS,Equity Lifestyle Properties,71.88,0.4,0.56%,72.07,70.67,545800,2/17/23,39232104
MMP,Magellan Midstream Partners LP,53.31,-0.4,-0.74%,53.775,53.02,735700,2/17/23,39220167
SPSC,Sps Commerce Inc,151.86,1.1,0.73%,153.65,149.53,258200,2/17/23,39210252
LITE,Lumentum Holdings,58.16,-0.25,-0.43%,58.93,57.42,673700,2/17/23,39182392
BAP,Credicorp Ltd,129.57,0.54,0.42%,129.62,127.45,302000,2/17/23,39130140
TKR,Timken Company,86.8,0.13,0.15%,86.84,85.33,450700,2/17/23,39120760
JMST,JPM Ultra-Short Municipal ETF,50.56,-0.005,-0.01%,50.58,50.52,772900,2/17/23,39077824
RVNC,Revance Therapeutics,33.78,1.02,3.11%,34.08,32.22,1155200,2/17/23,39022656
FDN,DJ Internet Index First Trust,141.75,-3.04,-2.10%,143.7,140.32,275200,2/17/23,39009600
TOTL,SPDR Doubleline Total Return Tactical ETF,40.64,0.07,0.17%,40.66,40.47,959800,2/17/23,39006272
SONO,Sonos Inc,20.62,-0.38,-1.81%,20.89,20.37,1890800,2/17/23,38988296
FR,First Industrial Realty Trust,53.88,-0.12,-0.22%,54.21,53.42,723000,2/17/23,38955240
ESTC,Elastic N.V.,60.4,-0.86,-1.40%,60.76,58.87,644500,2/17/23,38927800
SPHB,S&P 500 High Beta Invesco ETF,73.28,-0.89,-1.20%,73.65,72.53,529000,2/17/23,38765120
SCO,Ultrashort Bloomberg Crude Oil -2X ETF,25.42,1.04,4.27%,26.0733,25.22,1521600,2/17/23,38679072
CHGG,Chegg Inc,16.36,-0.28,-1.68%,16.83,16.22,2359000,2/17/23,38593240
BL,Blackline Inc,71.72,-0.59,-0.82%,72.48,70.74,538000,2/17/23,38585360
STWD,Starwood Property Trust,20.23,-0.04,-0.20%,20.24,19.97,1907200,2/17/23,38582656
FNF,Fidelity National Financial,42.95,0.01,0.02%,43.03,42.22,896300,2/17/23,38496085
ITCI,Intra-Cellular Ther,50.01,0.15,0.30%,50.72,49.5,769500,2/17/23,38482695
AKRO,Akero Therapeutics Inc,44.99,0.21,0.47%,45.59,44.28,852200,2/17/23,38340478
VVV,Valvoline Inc,34.76,-0.46,-1.31%,35.34,34.615,1099000,2/17/23,38201240
STNE,Stoneco Ltd Cl A,9.29,-0.43,-4.42%,9.63,9.2,4098900,2/17/23,38078781
SPT,Sprout Social Inc Cl A,60.99,-1.31,-2.10%,62.07,60.37,623200,2/17/23,38008968
RBC,RBC Bearings Inc,237.25,1.88,0.80%,239.31,232.84,160100,2/17/23,37983725
NICE,Nice Ltd ADR,219.36,-2,-0.90%,219.91,216.75,172800,2/17/23,37905408
EBS,Emergent Biosolutions,16.29,1.51,10.22%,16.4699,14.62,2325700,2/17/23,37885653
LESL,Leslie's Inc,13.56,-0.34,-2.45%,13.88,13.11,2790800,2/17/23,37843248
SKIN,The Beauty Health Co.,11.34,-0.75,-6.20%,11.99,11.28,3331800,2/17/23,37782612
DLB,Dolby Laboratories,83.51,-0.75,-0.89%,84.38,83.125,452300,2/17/23,37771573
TFII,Tfi International Inc,125.93,-1.85,-1.45%,127.76,125.15,299600,2/17/23,37728628
JLL,Jones Lang Lasalle Inc,175.81,0.04,0.02%,176.39,172.05,214400,2/17/23,37693664
TBIL,US Treasury 3 Month Bill ETF,49.97,0.01,0.02%,49.98,49.95,752400,2/17/23,37597428
NNN,National Retail Properties,46.91,0.14,0.30%,46.925,46.34,800400,2/17/23,37546764
ARMK,Aramark Holdings Corp,38.3,-0.02,-0.05%,38.39,37.97,979400,2/17/23,37511020
CWEN,Clearway Energy Inc Cl C,32.77,-0.13,-0.40%,33.1,32.34,1143900,2/17/23,37485603
VSCO,Victorias Secret & Co.,41.53,0.08,0.19%,41.59,40.62,900300,2/17/23,37389459
MQ,Marqeta Inc Cl A,5.94,-0.08,-1.33%,6.01,5.8,6290900,2/17/23,37367946
BRBR,Bellring Brands Inc Cl A,30.91,-0.02,-0.06%,31.33,30.84,1206500,2/17/23,37292915
ORA,Ormat Technologies,92.45,0.18,0.20%,92.735,91.535,403100,2/17/23,37266595
ECH,Chile Ishares MSCI ETF,29.275,-0.645,-2.16%,29.8,29.11,1272100,2/17/23,37240727.5
FRHC,Freedom Holding Corp,77.69,-1.31,-1.66%,78.41,72.84,477500,2/17/23,37096975
APPN,Appian Corp Cl A,45.96,1.1,2.45%,47.71,45.05,806600,2/17/23,37071336
IRTC,Irhythm Technologies Inc,112.73,1.09,0.98%,113.37,110.21,328600,2/17/23,37043078
TLRY,Tilray Brands Inc,3.01,-0.04,-1.31%,3.06,2.95,12259500,2/17/23,36901095
AM,Antero Midstream Corp,10.63,-0.37,-3.36%,10.98,10.58,3468400,2/17/23,36869092
SHC,Sotera Health Company,18,0.73,4.23%,18.27,16.26,2047600,2/17/23,36856800
ANGL,Vaneck Fallen Angel High Yield Bond ETF,27.54,0.16,0.58%,27.58,27.25,1337800,2/17/23,36843012
ESI,Element Solutions Inc,20.13,-0.13,-0.64%,20.29,19.95,1826100,2/17/23,36759393
VONG,Russell 1000 Growth Vanguard,60.54,-0.33,-0.54%,60.58,59.97,607000,2/17/23,36747780
R,Ryder System,98.58,-0.07,-0.07%,99.085,97.21,370900,2/17/23,36563322
CACI,Caci International,304,0.04,0.01%,305.95,303.08,120000,2/17/23,36480000
PEB,Pebblebrook Hotel Trust,15.04,-0.45,-2.91%,15.6173,14.905,2423500,2/17/23,36449440
AGL,Agilon Health Inc,22.79,-0.79,-3.35%,23.68,22.75,1596700,2/17/23,36388793
INZY,Inozyme Pharma Inc,2.89,0.19,7.04%,3.14,2.79,12582800,2/17/23,36364292
FIX,Comfort Systems USA,127.63,1.75,1.39%,127.99,126.31,284700,2/17/23,36336261
SHLS,Shoals Technologies Group Cl A,25.77,-0.31,-1.21%,26.15,25.32,1406900,2/17/23,36255813
TARK,Axs 2X Innovation ETF,71.64,-0.6,-0.83%,72.22,67.93,506000,2/17/23,36249840
GGB,Gerdau S.A. ADR,5.54,-0.01,-0.18%,5.56,5.47,6531200,2/17/23,36182848
GWRE,Guidewire Software Inc,72.94,-1,-1.35%,73.65,71.56,496000,2/17/23,36178240
WK,Workiva Llc,88.24,-0.76,-0.85%,90.57,88.18,409300,2/17/23,36116632
YPF,Ypf Sociedad Anonima ADR,11.41,-0.48,-4.04%,11.635,11.0701,3163300,2/17/23,36093253
AMX,America Movil S.A.B. DE C.V. ADR,20.65,0.11,0.54%,20.87,20.465,1740200,2/17/23,35935130
PEGA,Pegasystems Inc,48.23,-2.2,-4.36%,50.84,48.18,744500,2/17/23,35907235
OGE,Oge Energy Corp,38.41,0.39,1.03%,38.57,37.88,934100,2/17/23,35878781
SRTY,Ultrapro Short Russell 2000 -3X ETF,39.5,-0.28,-0.70%,40.8399,39.36,907900,2/17/23,35862050
FRO,Frontline Plc,17.17,-0.19,-1.09%,17.46,17.005,2085100,2/17/23,35801167
DY,Dycom Industries,82.94,2.64,3.29%,83.26,80.66,431300,2/17/23,35772022
SFM,Sprouts Farmers Market,33.04,0.15,0.46%,33.15,32.72,1081900,2/17/23,35745976
EXLS,Exlservice Holdings,170.53,-0.04,-0.02%,171.1,169.2,209600,2/17/23,35743088
URTY,Ultrapro Russell 2000 3X ETF,49.27,0.29,0.59%,49.58,47.78,723800,2/17/23,35661626
XM,Qualtrics International Inc Cl A,16.02,-0.07,-0.44%,16.1,15.71,2225800,2/17/23,35657316
NFG,National Fuel Gas Company,58.21,-0.1,-0.17%,58.429,57.42,612200,2/17/23,35636162
DDM,Ultra Dow30 2X ETF,66.22,0.52,0.79%,66.28,64.95,538000,2/17/23,35626360
BMO,Bank of Montreal,100.31,-0.08,-0.08%,100.54,99.6624,354800,2/17/23,35589988
EFG,EAFE Growth Ishares MSCI ETF,90.93,0.3,0.33%,90.99,90.05,390700,2/17/23,35526351
UPWK,Upwork Inc,11.72,-0.09,-0.76%,12.04,11.41,3027700,2/17/23,35484644
WEBL,DJ Internet Bull 3X Direxion,8.21,-0.58,-6.60%,8.58,7.9515,4321900,2/17/23,35482799
IRWD,Ironwood Pharmaceuti,11.85,0.5,4.41%,12.02,11.43,2977900,2/17/23,35288115
XYLD,Gx S&P 500 Covered Call ETF,41.01,0.02,0.05%,41.05,40.795,859900,2/17/23,35264499
AVUV,Avantis U.S. Small Cap Value ETF,82.72,-0.05,-0.06%,82.81,81.8993,426300,2/17/23,35263536
PHG,Koninklijke Philips Electronics ADR,17.04,-0.06,-0.35%,17.04,16.69,2060700,2/17/23,35114328
IHI,US Medical Devices Ishares ETF,53.58,0.15,0.28%,53.685,53.14,655300,2/17/23,35110974
NVRO,Nevro Corp,35.98,-3.53,-8.93%,39.5,35.13,969100,2/17/23,34868218
WBS,Webster Financial Corp,54.97,-0.28,-0.51%,55.3,54.67,633700,2/17/23,34834489
GBCI,Glacier Bancorp Inc,47.15,0.19,0.40%,47.46,46.78,737400,2/17/23,34768410
MASI,Masimo Corp,164.75,-0.15,-0.09%,165.01,162.84,210100,2/17/23,34613975
LAMR,Lamar Advertis A,107.73,0.89,0.83%,107.76,105.23,321200,2/17/23,34602876
SJR,Shaw Communications Inc,29.14,-0.02,-0.07%,29.19,28.9,1186300,2/17/23,34568782
JDST,Junior Gold Mine Bear -3X Direxion,8.2,0.04,0.49%,8.64,8.155,4190100,2/17/23,34358820
G,Genpact Ltd,47.56,0.55,1.17%,47.61,46.85,722400,2/17/23,34357344
RLI,Rli Corp,133.94,2.01,1.52%,135.47,132.24,255800,2/17/23,34261852
CYTK,Cytokinetics,45.71,1.58,3.58%,45.84,43.35,749400,2/17/23,34255074
COOP,Mr.Cooper Group Inc,47.03,0.03,0.06%,47.64,46.78,728100,2/17/23,34242543
LU,Lufax Holding Ltd ADR,2.46,-0.09,-3.53%,2.535,2.4,13915900,2/17/23,34233114
HTGC,Hercules Technology Growth Capital,16.24,1.16,7.69%,16.28,15.49,2105800,2/17/23,34198192
EXP,Eagle Materials Inc,143.81,0.3,0.21%,145.12,142.32,237800,2/17/23,34198018
DCP,Dcp Midstream LP,41.68,-0.02,-0.05%,41.73,41.66,819400,2/17/23,34152592
AQN,Algonquin Pwr & Util,7.83,0.05,0.64%,7.9,7.695,4360800,2/17/23,34145064
HLI,Houlihan Lokey,99.17,2.36,2.44%,99.445,96.26,343900,2/17/23,34104563
NVAX,Novavax Inc,10.02,0.03,0.30%,10.05,9.7,3402200,2/17/23,34090044
SGOL,Physical Gold ETF,17.64,0.05,0.28%,17.66,17.454,1932200,2/17/23,34084008
GFI,Gold Fields Ltd ADR,10.1,-0.1,-0.98%,10.22,9.985,3365000,2/17/23,33986500
DIDIY,Didi Global Inc ADR,4.51,-0.08,-1.74%,4.68,4.36,7521800,2/17/23,33923318
TRNO,Terreno Realty Corp,64.03,0.35,0.55%,64.09,62.95,527100,2/17/23,33750213
VOE,Midcap Value ETF Vanguard,144.03,-0.2,-0.14%,144.26,142.95,233700,2/17/23,33659811
VV,Largecap ETF Vanguard,185.97,-0.59,-0.32%,186.09,184.58,180900,2/17/23,33641973
CWH,Camping World Holdings Inc,26.01,0.02,0.08%,26.19,25.28,1291600,2/17/23,33594516
CBT,Cabot Corp,79.93,0.21,0.26%,81.7,79.42,419600,2/17/23,33538628
DIN,Dineequity Inc,81.46,-0.55,-0.67%,82.24,80.46,411400,2/17/23,33512644
AJRD,Aerojet Rocketdyne Holdings,55.98,-0.02,-0.04%,56.13,55.95,598200,2/17/23,33487236
PCH,Potlatch Cp,47.22,-0.36,-0.76%,47.87,46.8,705500,2/17/23,33313710
IUSV,S&P US Value Ishares Core ETF,75.68,-0.08,-0.11%,75.73,75.02,439300,2/17/23,33246224
MRTX,Mirati Therapeutics,48.36,1.05,2.22%,48.56,46.76,687100,2/17/23,33228156
FWONK,Liberty Media F1 Series K,70.01,0.05,0.07%,70.12,69.06,473500,2/17/23,33149735
BKU,BankUnited Inc,36.79,-1.01,-2.67%,37.94,36.72,900700,2/17/23,33136753
URTH,World Ishares MSCI ETF,116.88,-0.28,-0.24%,116.985,116.04,282800,2/17/23,33053664
BRKR,Bruker Corp,73.73,0.6,0.82%,73.78,72.57,445500,2/17/23,32846715
MGNI,Magnite Inc,13.76,0.24,1.78%,13.78,12.9,2384900,2/17/23,32816224
FPE,Preferred Securities and Income ETF FT,17.83,0,0.00%,17.83,17.772,1839100,2/17/23,32791153
SEIC,Sei Investments Company,61.4,-0.56,-0.90%,62.02,60.85,533700,2/17/23,32769180
CLVT,Clarivate Analytics Plc,10.71,-0.15,-1.38%,10.87,10.69,3059500,2/17/23,32767245
BPMC,Blueprint Medicines Corp,46.22,1.51,3.38%,46.58,43.93,708200,2/17/23,32733004
SUMO,Sumo Logic Inc,11.87,0,0.00%,11.89,11.85,2754900,2/17/23,32700663
EWI,Italy Ishares MSCI ETF,30.81,0.07,0.23%,30.845,30.545,1058000,2/17/23,32596980
CSIQ,Canadian Solar Inc,38.94,-0.86,-2.16%,39.49,38.5,836100,2/17/23,32557734
MLCO,Melco Resorts & Entertainment ADR,12.57,-0.54,-4.12%,12.93,12.52,2584000,2/17/23,32480880
UMBF,Ump Financial Corp,91.67,0.91,1.00%,91.88,90.49,354100,2/17/23,32460347
HRMY,Harmony Biosciences Holdings Inc,49.27,0.58,1.19%,49.57,48.22,658700,2/17/23,32454149
HQY,Healthequity,66.07,-0.03,-0.05%,66.8,65.18,489600,2/17/23,32347872
AIZ,Assurant Inc,132.41,-0.53,-0.40%,133.31,131.8,243900,2/17/23,32294799
ONB,Old National Bncp,18.01,0.2,1.12%,18.06,17.76,1791000,2/17/23,32255910
DNA,Ginkgo Bioworks Hldgs Inc,1.74,-0.02,-1.14%,1.765,1.63,18433900,2/17/23,32074986
SNX,Synnex Corp,101.13,-1.12,-1.10%,102.2,100.81,316300,2/17/23,31987419
NOBL,S&P 500 Dividend Aristocrats ETF,92.99,0.12,0.13%,93.05,92.2,343900,2/17/23,31979261
SILK,Silk Road Medical Inc,53.9,1.18,2.24%,54.16,52.72,593200,2/17/23,31973480
FWRD,Foward Air Corp,107.39,3.75,3.62%,108.73,103.96,297400,2/17/23,31937786
YOU,Clear Secure Inc Cl A,29.34,-0.57,-1.91%,29.9,28.93,1087800,2/17/23,31916052
LBTYA,Liberty Global Ord A,20.94,0.22,1.06%,20.96,20.52,1523500,2/17/23,31902090
SON,Sonoco Products Company,61.07,0.5,0.83%,61.27,60.27,521000,2/17/23,31817470
AVTA,Avantax Inc,29.91,0.27,0.91%,30.23,29.71,1062300,2/17/23,31773393
CHE,Chemed Inc,513.4,-2.5,-0.48%,521.82,508.41,61800,2/17/23,31728120
TTEK,Tetra Tech Inc,143.65,-0.85,-0.59%,145.29,143.22,220200,2/17/23,31631730
LEVI,Levi Strauss & Company Cl A,17.8,0.25,1.42%,17.8,17.33,1769900,2/17/23,31504220
MSGS,Madison Square Garden Sports Corp,190.43,0.42,0.22%,191.85,189.745,165400,2/17/23,31497122
SLGN,Silgan Holdings,53.74,0.17,0.32%,53.97,53.5305,585100,2/17/23,31443274
PB,Prosperity Bancshares,75.02,0.37,0.50%,75.49,74.7,418800,2/17/23,31418376
WWD,Woodward Inc,101.34,-0.25,-0.25%,102.03,100.8,309900,2/17/23,31405266
SLM,SLM Corp,14.57,-0.27,-1.82%,14.77,14.48,2155400,2/17/23,31404178
PACW,Pacwest Bancorp,27.64,0.25,0.91%,27.7,26.89,1135600,2/17/23,31387984
EWH,Hong Kong Ishares MSCI ETF,20.93,-0.3,-1.41%,20.96,20.82,1498800,2/17/23,31369884
LNTH,Lantheus Holdings,59.72,-0.13,-0.22%,60.16,58.81,524500,2/17/23,31323140
NEAR,Short Maturity Bond Ishares ETF,49.59,0.015,0.03%,49.6,49.56,630800,2/17/23,31281372
OZK,Bank Ozk,47.42,0.4,0.85%,47.7,46.74,659300,2/17/23,31264006
FVD,Value Line Dividend Index ETF FT,40.92,0.35,0.86%,41,40.512,763200,2/17/23,31230144
CNXC,Concentrix Corp,142.73,2.21,1.57%,143.04,137.92,218800,2/17/23,31229324
OEF,S&P 100 Ishares ETF,182.67,-0.6,-0.33%,182.8,181.11,170700,2/17/23,31181769
GEO,Geo Group Inc,9.54,-0.42,-4.22%,10.04,9.495,3263600,2/17/23,31134744
ABB,Abb Ltd ADR,34.17,0.16,0.47%,34.215,33.8,909700,2/17/23,31084449
AXS,Axis Capital Holdings,62.77,0.79,1.27%,62.84,61.86,495100,2/17/23,31077427
NEP,Nextera Energy Partners LP,71.49,-0.65,-0.90%,72.61,71.31,434200,2/17/23,31040958
ERIC,Ericsson ADR,5.76,-0.03,-0.52%,5.76,5.68,5377000,2/17/23,30971520
CCOI,Cogent Comm Hlds,68.03,0.86,1.28%,68.46,67.2,454900,2/17/23,30946847
DFAC,Dimensional U.S. Core Equity 2 ETF,26.06,-0.07,-0.27%,26.08,25.88,1186400,2/17/23,30917584
RPD,Rapid7 Inc,49.7,0.82,1.68%,49.8,47.65,621500,2/17/23,30888550
DOC,Physicians Realty Trust,15.68,-0.09,-0.57%,15.82,15.545,1967000,2/17/23,30842560
AAWW,Atlas Air Ww,101.95,0.05,0.05%,102.17,101.89,300500,2/17/23,30635975
AGI,Alamos Gold Inc,10.35,-0.08,-0.77%,10.385,10.085,2955200,2/17/23,30586320
DK,Delek US Holdings,26.14,-0.09,-0.34%,26.245,25.3,1165900,2/17/23,30476626
RKT,Rocket Companies Inc Cl A,8.7,-0.32,-3.55%,8.945,8.51,3502400,2/17/23,30470880
ISTB,1-5 Year USD Bond Ishares Core ETF,46.63,0.05,0.11%,46.63,46.52,653100,2/17/23,30454053
OUT,Outfront Media Inc,19.18,0.07,0.37%,19.225,18.82,1586100,2/17/23,30421398
EEFT,Euronet Worldwide,110.18,-1.16,-1.04%,110.96,109.19,275900,2/17/23,30398662
MSM,Msc Industrial Direct Company,86.68,0.65,0.76%,87.16,85.87,350500,2/17/23,30381340
PK,Park Hotels & Resorts Inc,13.75,-0.11,-0.79%,13.87,13.515,2208300,2/17/23,30364125
CHDN,Churchill Downs IN,245.88,-1.02,-0.41%,246.97,243.25,123300,2/17/23,30317004
DAVA,Endava Plc ADR,82.63,1.02,1.25%,82.98,79.935,366700,2/17/23,30300421
KRG,Kite Realty Group Trust,22.46,-0.27,-1.19%,22.87,22.38,1348000,2/17/23,30276080
MD,Pediatrix Medical Group Inc,16.71,1.64,10.88%,17.3,15.55,1804600,2/17/23,30154866
COLB,Columbia Banking Sys,31.59,0.19,0.61%,31.65,31.22,954000,2/17/23,30136860
LYG,Lloyds Banking Group Plc ADR,2.43,-0.11,-4.33%,2.45,2.42,12397900,2/17/23,30126897
RWR,DJ REIT ETF SPDR,95.12,-0.34,-0.36%,95.46,94.21,316300,2/17/23,30086456
IYW,US Technology Ishares ETF,85.22,-1.12,-1.30%,85.7742,84.41,353000,2/17/23,30082660
CALX,Calix Inc,52.39,-0.72,-1.36%,53.235,51.7407,574100,2/17/23,30077099
VPU,Utilities ETF Vanguard,149.78,1.7,1.15%,150.36,147.38,200700,2/17/23,30060846
HWC,Hancock Whitney Corp,50.85,-0.13,-0.26%,51.17,50.18,588500,2/17/23,29925225
SSTK,Shutterstock Inc,76.08,-2.21,-2.82%,77.67,75.69,391900,2/17/23,29815752
LSXMA,Liberty Srs XM CS A,33.86,-0.06,-0.18%,34.07,33.41,880500,2/17/23,29813730
VYMI,Intl High Divd Yield ETF Vanguard,63.47,0.1,0.16%,63.52,63,469700,2/17/23,29811859
FFIE,Faraday Future Intelligent Electric Inc,0.5871,-0.0394,-6.29%,0.6298,0.55,50749598,2/17/23,29795088.99
SAIC,Science Applications International,108.58,0.4,0.37%,108.96,108.1,274000,2/17/23,29750920
EMBC,Embecta Corp,31.84,0.8,2.58%,31.99,30.83,932800,2/17/23,29700352
HUT,Hut 8 Mining Corp,2.01,0.03,1.52%,2.06,1.87,14690500,2/17/23,29527905
VONV,Russell 1000 Value Vanguard,69.4,-0.06,-0.09%,69.48,68.83,424500,2/17/23,29460300
IONS,Ionis Pharmaceuticals,38.6,0.49,1.29%,38.62,37.8,761300,2/17/23,29386180
VHT,Healthcare ETF Vanguard,244.1,2.44,1.01%,244.25,240.55,120300,2/17/23,29365230
ADNT,Adient Plc,44.6,0.26,0.59%,44.65,43.6899,657500,2/17/23,29324500
TELL,Tellurian Inc,1.51,0.08,5.59%,1.57,1.39,19330800,2/17/23,29189508
SGML,Sigma Lithium Corp,29.48,-0.87,-2.87%,30.66,28.78,989900,2/17/23,29182252
FNDF,Schwab Fundamental Intl Large Co. ETF,31.55,0.06,0.19%,31.565,31.28,924300,2/17/23,29161665
IUSG,S&P US Growth Ishares Core ETF,86.59,-0.35,-0.40%,86.64,85.88,335600,2/17/23,29059604
IBP,Installed Building Products,109.76,-2.15,-1.92%,111.66,107.71,264600,2/17/23,29042496
SHM,Short-Term Muni Bond ETF SPDR,46.8,-0.13,-0.28%,46.91,46.785,620500,2/17/23,29039400
AEHR,Aehr Test Systems,34.75,-0.93,-2.61%,35.52,33.67,834900,2/17/23,29012775
BECN,Beacon Roofing Suppl,61.38,-0.89,-1.43%,62.45,60.14,472600,2/17/23,29008188
AMBA,Ambarella Inc,93.12,-0.88,-0.94%,94.15,92.21,310700,2/17/23,28932384
QFIN,360 Finance Inc ADR,20.96,-0.71,-3.28%,21.39,20.68,1379900,2/17/23,28922704
NUS,Nu Skin Enterprises,43.75,0.28,0.64%,43.76,42.56,660700,2/17/23,28905625
VNT,Vontier Corp,26.12,0.04,0.15%,26.17,25.54,1105300,2/17/23,28870436
PJT,Pjt Partners Inc Cl A,81.54,1.68,2.10%,83.17,79.87,353500,2/17/23,28824390
DBC,DB Commodity Index Fund Invesco,23.85,-0.18,-0.75%,23.8901,23.58,1207800,2/17/23,28806030
NWE,Northwestern Corp,58.48,1.56,2.74%,58.99,57.09,492100,2/17/23,28778008
FCN,Fti Consulting,164.13,1.93,1.19%,164.65,162.55,175100,2/17/23,28739163
BGNE,Beigene Ltd ADR,232.06,-3.3,-1.40%,234.52,230.31,123800,2/17/23,28729028
SNN,Smith & Nephew Snats ADR,27.86,0.19,0.69%,27.935,27.695,1029900,2/17/23,28693014
GOGO,Gogo Inc,16.16,0.15,0.94%,16.26,15.66,1775000,2/17/23,28684000
ABEV,Ambev S.A. ADR,2.52,0.02,0.80%,2.54,2.48,11354300,2/17/23,28612836
MTSI,Macom Technology S,67.95,0.09,0.14%,68.13,67.01,420900,2/17/23,28600155
SIGI,Selective Ins Group,102.31,0.52,0.51%,103.61,100.75,279400,2/17/23,28585414
CWEB,CSI China Internet Idx Bull 2X ETF Direxion,52.61,-3.8,-6.74%,53.81,52.0001,543000,2/17/23,28567230
TNL,Travel + Leisure Co.,42.12,-0.41,-0.96%,42.49,41.71,676400,2/17/23,28489968
KD,Kyndryl Hldgs Inc,16.46,-0.35,-2.08%,16.54,16.0742,1730300,2/17/23,28480738
CADE,Cadence Bank,27.48,0.1,0.37%,27.67,27.105,1036000,2/17/23,28469280
AXNX,Axonics Inc,57.41,-0.07,-0.12%,58.01,56.5,495800,2/17/23,28463878
MEOH,Methanex Cp,48.27,-1.49,-2.99%,49.3,47.86,589400,2/17/23,28450338
MSA,Msa Safety Inc,140.2,0.86,0.62%,141.64,139.2401,202900,2/17/23,28446580
DH,Definitive Healthcare Corp Cl A,12.28,-1.34,-9.84%,13.52,11.75,2313300,2/17/23,28407324
IWS,Russell Midcap Value Ishares ETF,113.35,-0.2,-0.18%,113.476,112.4101,250000,2/17/23,28337500
SPMB,Mortgage Backed Bond ETF SPDR,21.98,0.06,0.27%,21.99,21.87,1284400,2/17/23,28231112
VXF,Extended Market Index ETF Vanguard,148.7,-0.64,-0.43%,149.05,147.6,189500,2/17/23,28178650
LSXMK,Liberty Srs XM CS C,33.84,0,0.00%,33.9,33.36,829600,2/17/23,28073664
TBF,Short 20+ Year Treasury -1X ETF,22.15,-0.15,-0.67%,22.4463,22.14,1265500,2/17/23,28030825
KT,Korea Telecom Corp ADR,12.75,0.05,0.39%,12.775,12.5,2197400,2/17/23,28016850
